Profile URL,Post ID,Reel URL,Likes,Comments,Replies,Raw Replies,Video Length (seconds),Post Time (EST),Month,Day of Month,Year,Cumulative Date,Day of Week,Profile URL,Reel Number,View Count,Profile URL,Followers
https://www.instagram.com/christine_glow/reels/,C6tw0y-rXMD,https://www.instagram.com/christine_glow/reel/C6tw0y-rXMD/,420,70,15,85,304.2758621,22:00:26,May,8,2024,2024-05-08,Wednesday,https://www.instagram.com/christine_glow/reels/,2,8539,https://www.instagram.com/christine_glow/reels/,58734
https://www.instagram.com/christine_glow/reels/,CmX_4_UMaTV,https://www.instagram.com/christine_glow/reel/CmX_4_UMaTV/,916,62,1,63,10.766666,22:57:41,December,19,2022,2022-12-19,Monday,https://www.instagram.com/christine_glow/reels/,3,21900,https://www.instagram.com/christine_glow/reels/,58734
https://www.instagram.com/christine_glow/reels/,CUs1oA8rUvn,https://www.instagram.com/christine_glow/reel/CUs1oA8rUvn/,1525,61,0,61,7.799999,16:28:42,October,6,2021,2021-10-06,Wednesday,https://www.instagram.com/christine_glow/reels/,4,41300,https://www.instagram.com/christine_glow/reels/,58734
https://www.instagram.com/christine_glow/reels/,CLA_PHXBQVE,https://www.instagram.com/christine_glow/reel/CLA_PHXBQVE/,2883,69,1,70,18.155957,22:03:31,February,7,2021,2021-02-07,Sunday,https://www.instagram.com/christine_glow/reels/,5,58300,https://www.instagram.com/christine_glow/reels/,58734
https://www.instagram.com/christine_glow/reels/,CIlfU8LBVtK,https://www.instagram.com/christine_glow/reel/CIlfU8LBVtK/,,67,1,68,29.7,12:56:52,December,9,2020,2020-12-09,Wednesday,https://www.instagram.com/christine_glow/reels/,6,13600,https://www.instagram.com/christine_glow/reels/,58734
https://www.instagram.com/christine_glow/reels/,CIbn-kznZSQ,https://www.instagram.com/christine_glow/reel/CIbn-kznZSQ/,,73,0,73,9.066666,15:34:24,December,7,2020,2020-12-07,Monday,https://www.instagram.com/christine_glow/reels/,7,10700,https://www.instagram.com/christine_glow/reels/,58734
https://www.instagram.com/christine_glow/reels/,CIGzACjHoUN,https://www.instagram.com/christine_glow/reel/CIGzACjHoUN/,603,70,10,80,8.099999,14:37:58,November,27,2020,2020-11-27,Friday,https://www.instagram.com/christine_glow/reels/,8,12700,https://www.instagram.com/christine_glow/reels/,58734
https://www.instagram.com/christine_glow/reels/,CFxD9v0B7s9,https://www.instagram.com/christine_glow/reel/CFxD9v0B7s9/,,70,9,79,24.466666,14:29:23,September,30,2020,2020-09-30,Wednesday,https://www.instagram.com/christine_glow/reels/,9,5332,https://www.instagram.com/christine_glow/reels/,58734
https://www.instagram.com/christine_glow/reels/,CFANi7-HL7P,https://www.instagram.com/christine_glow/reel/CFANi7-HL7P/,,65,10,75,10.774058,23:03:52,September,11,2020,2020-09-11,Friday,https://www.instagram.com/christine_glow/reels/,10,3665,https://www.instagram.com/christine_glow/reels/,58734
https://www.instagram.com/christine_glow/reels/,CEetoUtnsxa,https://www.instagram.com/christine_glow/reel/CEetoUtnsxa/,,67,2,69,59.164444,12:59:22,August,29,2020,2020-08-29,Saturday,https://www.instagram.com/christine_glow/reels/,11,23900,https://www.instagram.com/christine_glow/reels/,58734
https://www.instagram.com/christine_glow/reels/,CDVLwNbHsNR,https://www.instagram.com/christine_glow/reel/CDVLwNbHsNR/,,63,4,67,389.9666667,13:28:27,August,1,2020,2020-08-01,Saturday,https://www.instagram.com/christine_glow/reels/,12,12200,https://www.instagram.com/christine_glow/reels/,58734
https://www.instagram.com/jc.dombrowski/reels/,C-0b5qoOMZi,https://www.instagram.com/jc.dombrowski/reel/C-0b5qoOMZi/,1339893,72,470,542,53.7,13:16:53,August,18,2024,2024-08-18,Sunday,https://www.instagram.com/jc.dombrowski/reels/,1,27500000,https://www.instagram.com/jc.dombrowski/reels/,116733
https://www.instagram.com/jc.dombrowski/reels/,C2sWRbVOVm5,https://www.instagram.com/jc.dombrowski/reel/C2sWRbVOVm5/,1300,70,4,74,49.873605,12:42:24,January,29,2024,2024-01-29,Monday,https://www.instagram.com/jc.dombrowski/reels/,2,868000,https://www.instagram.com/jc.dombrowski/reels/,116733
https://www.instagram.com/jc.dombrowski/reels/,CyefjKQusbv,https://www.instagram.com/jc.dombrowski/reel/CyefjKQusbv/,1120,67,1,68,48.46666667,18:29:35,October,16,2023,2023-10-16,Monday,https://www.instagram.com/jc.dombrowski/reels/,3,51400,https://www.instagram.com/jc.dombrowski/reels/,116733
https://www.instagram.com/jc.dombrowski/reels/,DDFm_y3SSDw,https://www.instagram.com/jc.dombrowski/reel/DDFm_y3SSDw/,222,52,5,57,43.03333333,14:27:04,December,2,2024,2024-12-02,Monday,https://www.instagram.com/jc.dombrowski/reels/,4,5227,https://www.instagram.com/jc.dombrowski/reels/,116733
https://www.instagram.com/jc.dombrowski/reels/,DDFm51Oy8Wp,https://www.instagram.com/jc.dombrowski/reel/DDFm51Oy8Wp/,19,33,0,33,75.3,14:25:46,December,2,2024,2024-12-02,Monday,https://www.instagram.com/jc.dombrowski/reels/,5,539,https://www.instagram.com/jc.dombrowski/reels/,116733
https://www.instagram.com/jc.dombrowski/reels/,DDDHmtVyRXF,https://www.instagram.com/jc.dombrowski/reel/DDDHmtVyRXF/,378,34,0,34,14.999999,15:13:16,December,1,2024,2024-12-01,Sunday,https://www.instagram.com/jc.dombrowski/reels/,6,11400,https://www.instagram.com/jc.dombrowski/reels/,116733
https://www.instagram.com/jc.dombrowski/reels/,DDDHchtS0Dh,https://www.instagram.com/jc.dombrowski/reel/DDDHchtS0Dh/,581,59,2,61,31.73333333,15:12:03,December,1,2024,2024-12-01,Sunday,https://www.instagram.com/jc.dombrowski/reels/,7,5612,https://www.instagram.com/jc.dombrowski/reels/,116733
https://www.instagram.com/jc.dombrowski/reels/,DDC_DLHyODr,https://www.instagram.com/jc.dombrowski/reel/DDC_DLHyODr/,69,48,0,48,25,14:01:31,December,1,2024,2024-12-01,Sunday,https://www.instagram.com/jc.dombrowski/reels/,8,2265,https://www.instagram.com/jc.dombrowski/reels/,116733
https://www.instagram.com/jc.dombrowski/reels/,DDAWbRZuY3C,https://www.instagram.com/jc.dombrowski/reel/DDAWbRZuY3C/,120,32,0,32,57.66666667,13:25:35,November,30,2024,2024-11-30,Saturday,https://www.instagram.com/jc.dombrowski/reels/,9,5378,https://www.instagram.com/jc.dombrowski/reels/,116733
https://www.instagram.com/jc.dombrowski/reels/,DDAQO50OFH1,https://www.instagram.com/jc.dombrowski/reel/DDAQO50OFH1/,137,41,0,41,59.16666667,12:31:24,November,30,2024,2024-11-30,Saturday,https://www.instagram.com/jc.dombrowski/reels/,10,6374,https://www.instagram.com/jc.dombrowski/reels/,116733
https://www.instagram.com/jc.dombrowski/reels/,DC9qeBtuZvq,https://www.instagram.com/jc.dombrowski/reel/DC9qeBtuZvq/,402,41,0,41,17.733333,12:22:26,November,29,2024,2024-11-29,Friday,https://www.instagram.com/jc.dombrowski/reels/,11,4103,https://www.instagram.com/jc.dombrowski/reels/,116733
https://www.instagram.com/jc.dombrowski/reels/,DC9nOKKOjEd,https://www.instagram.com/jc.dombrowski/reel/DC9nOKKOjEd/,37,32,0,32,51.76666667,11:54:16,November,29,2024,2024-11-29,Friday,https://www.instagram.com/jc.dombrowski/reels/,12,2291,https://www.instagram.com/jc.dombrowski/reels/,116733
https://www.instagram.com/laysieee/reels/,DBjr-IlyvzN,https://www.instagram.com/laysieee/reel/DBjr-IlyvzN/,105,35,0,35,48.4,14:46:16,October,25,2024,2024-10-25,Friday,https://www.instagram.com/laysieee/reels/,1,2559,https://www.instagram.com/laysieee/reels/,80794
https://www.instagram.com/laysieee/reels/,DBMlaIfSEEQ,https://www.instagram.com/laysieee/reel/DBMlaIfSEEQ/,,39,0,39,73.186439,15:31:19,October,16,2024,2024-10-16,Wednesday,https://www.instagram.com/laysieee/reels/,2,5694,https://www.instagram.com/laysieee/reels/,80794
https://www.instagram.com/laysieee/reels/,C8Dm4CUur86,https://www.instagram.com/laysieee/reel/C8Dm4CUur86/,,31,0,31,90,21:19:10,June,10,2024,2024-06-10,Monday,https://www.instagram.com/laysieee/reels/,3,7478,https://www.instagram.com/laysieee/reels/,80794
https://www.instagram.com/laysieee/reels/,C5EvrTTuCmZ,https://www.instagram.com/laysieee/reel/C5EvrTTuCmZ/,400,41,0,41,51.66946863,18:09:10,March,28,2024,2024-03-28,Thursday,https://www.instagram.com/laysieee/reels/,4,6186,https://www.instagram.com/laysieee/reels/,80794
https://www.instagram.com/laysieee/reels/,C3-4svkO40s,https://www.instagram.com/laysieee/reel/C3-4svkO40s/,3080,62,5,67,10.366666,14:00:48,March,1,2024,2024-03-01,Friday,https://www.instagram.com/laysieee/reels/,5,46300,https://www.instagram.com/laysieee/reels/,80794
https://www.instagram.com/laysieee/reels/,Cyi_qhbuoZT,https://www.instagram.com/laysieee/reel/Cyi_qhbuoZT/,5189,70,0,70,208.4069136,12:33:06,October,18,2023,2023-10-18,Wednesday,https://www.instagram.com/laysieee/reels/,6,94200,https://www.instagram.com/laysieee/reels/,80794
https://www.instagram.com/laysieee/reels/,CxY7CimOuik,https://www.instagram.com/laysieee/reel/CxY7CimOuik/,429,29,0,29,61.63333333,18:02:54,September,19,2023,2023-09-19,Tuesday,https://www.instagram.com/laysieee/reels/,7,7167,https://www.instagram.com/laysieee/reels/,80794
https://www.instagram.com/laysieee/reels/,CvN-HE8rYU-,https://www.instagram.com/laysieee/reel/CvN-HE8rYU-/,339,31,0,31,54.53333333,18:54:32,July,27,2023,2023-07-27,Thursday,https://www.instagram.com/laysieee/reels/,8,5251,https://www.instagram.com/laysieee/reels/,80794
https://www.instagram.com/laysieee/reels/,CuFqzVcu-Bq,https://www.instagram.com/laysieee/reel/CuFqzVcu-Bq/,473,31,0,31,30.624263,17:00:20,June,29,2023,2023-06-29,Thursday,https://www.instagram.com/laysieee/reels/,9,6271,https://www.instagram.com/laysieee/reels/,80794
